url,manufacturer,car_name,body_style,production_start,production_end,length,width,width_incl_mirrors,height,wheelbase,ground_clearance,cargo_volume_eu,cargo_volume_us,cargo_volume_max_eu,cargo_volume_max_us,weight,segment,price_eu,price_us
https://www.carsized.com/en/cars/alfa-romeo-giulietta-2010-5-door-hatchback/,Alfa Romeo,Giulietta,5-door Hatchback,2010,2021.0,435.1,179.8,200.0,146.5,263.4,,350.0,,1518.0,,1355.0,Premium,19250.0,
https://www.carsized.com/en/cars/alfa-romeo-gt-2003-coupe/,Alfa Romeo,GT,Coupé,2003,2010.0,448.9,176.3,189.5,136.6,259.6,,320.0,,905.0,,1365.0,Premium,24550.0,
https://www.carsized.com/en/cars/alfa-romeo-junior-2024-suv-electric/,Alfa Romeo,Junior Electric,SUV,2024,,417.3,178.1,198.1,153.3,256.2,,400.0,,1265.0,,1620.0,Premium,39500.0,
https://www.carsized.com/en/cars/alfa-romeo-junior-z-1972-coupe-gt-1600/,Alfa Romeo,Junior Z Zagato,Coupé,1972,1975.0,385.0,152.0,,128.0,225.0,12.0,,,,,950.0,Premium,8666.0,
https://www.carsized.com/en/cars/alfa-romeo-mito-2008-3-door-hatchback/,Alfa Romeo,MiTo,3-door Hatchback,2008,2018.0,406.3,172.1,194.0,144.6,251.1,,270.0,,950.0,,1140.0,Premium,13950.0,
https://www.carsized.com/en/cars/alfa-romeo-spider-1993-cabriolet/,Alfa Romeo,Spider,Cabriolet,1993,2004.0,428.5,178.0,196.5,131.5,254.0,,110.0,,,,1350.0,Premium,23400.0,
https://www.carsized.com/en/cars/alfa-romeo-sprint-1976-3-door-coupe/,Alfa Romeo,Sprint,3-door Coupé,1976,1983.0,402.4,162.0,,129.7,245.5,,325.0,,1350.0,,,Premium,,
https://www.carsized.com/en/cars/alfa-romeo-stelvio-2016-suv/,Alfa Romeo,Stelvio,SUV,2016,2022.0,468.7,190.3,216.3,169.3,281.8,20.0,525.0,,1600.0,,1679.0,Premium,39800.0,
https://www.carsized.com/en/cars/alfa-romeo-tonale-2022-suv/,Alfa Romeo,Tonale,SUV,2022,,452.8,184.1,208.2,160.1,263.6,15.7,500.0,,1550.0,,1600.0,Premium,36300.0,43845.0
https://www.carsized.com/en/cars/alpine-a110-1962-coupe/,Alpine,A110,Coupé,1962,1977.0,385.0,155.0,,112.0,210.0,14.0,,,,,790.0,Premium,3048.0,
https://www.carsized.com/en/cars/alpine-a110-2017-coupe/,Alpine,A110,Coupé,2017,,418.0,179.8,198.0,125.2,242.0,12.6,196.0,,,,1173.0,Premium,54200.0,
https://www.carsized.com/en/cars/alpine-a290-2024-5-door-hatchback/,Alpine,A290,5-door Hatchback,2024,,399.0,182.0,202.0,152.0,253.0,,326.0,,1106.0,,1554.0,Standard,38700.0,
https://www.carsized.com/en/cars/alpine-a310-1981-coupe-v6/,Alpine,A310,Coupé,1981,1985.0,425.0,165.0,,115.0,227.0,14.0,75.0,,,,1040.0,Premium,18381.0,
https://www.carsized.com/en/cars/alpine-renault-alpine-v6-gt-1984-coupe/,Alpine,Renault Alpine V6 GT,Coupé,1984,1991.0,433.0,175.4,,119.7,233.9,13.0,90.0,,310.0,,1110.0,Premium,25000.0,
https://www.carsized.com/en/cars/alvis-tc-108-1956-roadster-graber/,Alvis,TC 108 Graber,Roadster,1956,1958.0,470.0,168.0,,133.0,283.2,,,,,,,Premium,,
https://www.carsized.com/en/cars/alvis-tc-21-1954-cabriolet-graber/,Alvis,TC 2/00 Special Graber,Cabriolet,1954,1956.0,457.0,163.0,,140.0,283.2,19.0,,,,,1400.0,Premium,,
https://www.carsized.com/en/cars/aston-martin-db11-2016-coupe/,Aston Martin,DB11,Coupé,2016,,473.9,194.0,213.5,127.9,280.5,12.2,270.0,,,,1760.0,Luxury,184000.0,211995.0
https://www.carsized.com/en/cars/aston-martin-db4-1961-coupe/,Aston Martin,DB4 Series III,Coupé,1961,1961.0,448.0,167.6,,131.0,248.9,10.2,255.0,,,,1727.0,Luxury,23519.0,
https://www.carsized.com/en/cars/aston-martin-db7-1999-coupe/,Aston Martin,DB7 Vantage,Coupé,1999,2004.0,469.2,183.0,,124.3,259.1,,170.0,,,,1920.0,Luxury,127580.0,143000.0
https://www.carsized.com/en/cars/aston-martin-dbx-2020-suv/,Aston Martin,DBX,SUV,2020,,503.9,199.8,222.0,168.0,306.0,23.5,490.0,,1530.0,,2320.0,Luxury,183500.0,
https://www.carsized.com/en/cars/aston-martin-lagonda-1976-sedan/,Aston Martin,Lagonda Series II,Sedan,1976,1985.0,528.3,181.6,,130.2,291.5,14.0,368.0,,,,2064.0,Luxury,50890.0,150000.0
https://www.carsized.com/en/cars/aston-martin-rapide-2013-sedan/,Aston Martin,Rapide,Sedan,2013,2020.0,501.9,192.9,214.0,136.0,299.0,10.8,223.0,,1029.0,,,Luxury,,198250.0
https://www.carsized.com/en/cars/aston-martin-v8-1978-coupe/,Aston Martin,V8,Coupé,1978,1986.0,467.4,183.0,,133.0,261.0,14.0,,,,,1727.0,Luxury,39380.0,
https://www.carsized.com/en/cars/aston-martin-vanquish-2024-coupe/,Aston Martin,Vanquish,Coupé,2024,,485.5,204.4,212.0,129.0,288.5,12.0,248.0,,,,1910.0,Luxury,350000.0,429000.0
https://www.carsized.com/en/cars/aston-martin-vantage-2005-coupe-v12/,Aston Martin,Vantage,Coupé,2005,2018.0,438.0,186.5,,124.1,260.0,,144.0,,,,1680.0,Luxury,172890.0,
https://www.carsized.com/en/cars/aston-martin-vantage-2006-roadster/,Aston Martin,Vantage,Roadster,2006,2018.0,438.0,186.5,,126.5,260.0,,144.0,,,,1710.0,Luxury,121020.0,
https://www.carsized.com/en/cars/aston-martin-vantage-2018-coupe/,Aston Martin,Vantage,Coupé,2018,,446.5,194.2,215.5,127.3,270.4,12.0,235.0,,,,1685.0,Luxury,154000.0,149995.0
https://www.carsized.com/en/cars/aston-martin-virage-1989-coupe/,Aston Martin,Virage,Coupé,1989,1995.0,477.0,187.0,,133.0,261.1,,325.0,,,,1920.0,Luxury,218832.0,
https://www.carsized.com/en/cars/audi-100-1982-sedan/,Audi,100,Sedan,1982,1988.0,479.3,181.4,,142.0,268.7,,570.0,,,,1170.0,Premium,12805.0,
https://www.carsized.com/en/cars/audi-200-1988-sedan/,Audi,200,Sedan,1988,1991.0,479.3,181.4,,142.2,268.7,,570.0,,,,1300.0,Premium,40392.0,
https://www.carsized.com/en/cars/audi-80-1986-sedan/,Audi,80,Sedan,1986,1991.0,439.3,169.5,,139.7,254.6,,425.0,,,,1020.0,Premium,8180.0,
https://www.carsized.com/en/cars/audi-80-1991-sedan-s2/,Audi,S2,Sedan,1991,1995.0,450.9,169.5,193.0,138.6,259.7,,430.0,,712.0,,1520.0,Premium,39191.0,
https://www.carsized.com/en/cars/audi-a1-2010-3-door-hatchback/,Audi,A1,3-door Hatchback,2010,2014.0,395.4,174.0,190.6,141.7,246.9,12.1,270.0,,920.0,,1115.0,Premium,16750.0,
https://www.carsized.com/en/cars/audi-a1-2010-5-door-hatchback/,Audi,A1 Sportback,5-door Hatchback,2010,2014.0,395.4,174.6,190.6,142.2,246.9,12.2,270.0,,920.0,,1115.0,Premium,17600.0,
https://www.carsized.com/en/cars/audi-a1-2014-5-door-hatchback/,Audi,A1 Sportback,5-door Hatchback,2014,2018.0,397.3,174.6,190.6,142.2,246.9,12.2,270.0,,920.0,,1135.0,Premium,17100.0,
https://www.carsized.com/en/cars/audi-a1-2018-5-door-hatchback/,Audi,A1 Sportback,5-door Hatchback,2018,,402.9,174.0,194.0,140.9,256.3,12.2,335.0,,1090.0,,1165.0,Premium,19950.0,
https://www.carsized.com/en/cars/audi-a1-2019-5-door-hatchback-citycarver/,Audi,A1 Citycarver,5-door Hatchback Crossover,2019,2022.0,404.6,175.6,194.0,145.9,256.6,14.4,335.0,,1090.0,,1205.0,Premium,21787.0,
https://www.carsized.com/en/cars/audi-a2-1999-5-door-hatchback/,Audi,A2,5-door Hatchback,1999,2005.0,382.6,167.3,,155.3,240.5,,350.0,,,,995.0,Premium,17000.0,
https://www.carsized.com/en/cars/audi-a3-1996-3-door-hatchback/,Audi,A3,3-door Hatchback,1996,2000.0,415.2,173.5,190.4,142.3,251.2,,350.0,,1100.0,,1090.0,Premium,17077.0,
https://www.carsized.com/en/cars/audi-a3-2000-3-door-hatchback/,Audi,A3,3-door Hatchback,2000,2003.0,415.2,173.5,190.4,142.3,251.2,,350.0,,1100.0,,1090.0,Premium,18300.0,
https://www.carsized.com/en/cars/audi-a3-2003-3-door-hatchback/,Audi,A3,3-door Hatchback,2003,2013.0,421.5,176.5,195.7,142.0,257.8,12.0,350.0,,1100.0,,1280.0,Premium,19050.0,
https://www.carsized.com/en/cars/audi-a3-2003-5-door-hatchback/,Audi,A3 Sportback,5-door Hatchback,2003,2013.0,428.5,176.5,199.5,142.0,257.8,12.0,370.0,,1100.0,,1320.0,Premium,20850.0,
https://www.carsized.com/en/cars/audi-a3-2008-cabriolet/,Audi,A3,Cabriolet,2008,2012.0,421.5,176.5,199.5,142.4,257.8,,260.0,,674.0,,1405.0,Premium,25400.0,
https://www.carsized.com/en/cars/audi-a3-2012-3-door-hatchback/,Audi,A3 Sportback,3-door Hatchback,2012,2016.0,423.7,177.7,196.6,142.1,260.1,12.5,365.0,,1100.0,,1225.0,Premium,21900.0,
https://www.carsized.com/en/cars/audi-a3-2012-5-door-hatchback/,Audi,A3 Sportback,5-door Hatchback,2012,2016.0,431.0,178.5,196.6,142.1,263.6,12.5,380.0,,1220.0,,1255.0,Premium,22800.0,
https://www.carsized.com/en/cars/audi-a3-2012-sedan/,Audi,A3,Sedan,2012,2020.0,445.8,179.6,196.0,141.6,263.6,14.0,425.0,,,,1290.0,Premium,25500.0,31950.0
https://www.carsized.com/en/cars/audi-a3-2016-5-door-hatchback-s3/,Audi,S3 Sportback,5-door Hatchback,2016,2020.0,432.2,178.5,196.6,140.4,263.1,11.6,340.0,,1180.0,,1505.0,Premium,43050.0,
https://www.carsized.com/en/cars/audi-a3-2016-5-door-hatchback/,Audi,A3 Sportback,5-door Hatchback,2016,2020.0,431.0,178.5,196.6,142.1,263.6,12.5,380.0,,1220.0,,1255.0,Premium,25350.0,
https://www.carsized.com/en/cars/audi-a3-2016-cabriolet/,Audi,A3,Cabriolet,2016,2020.0,442.3,179.3,196.0,140.9,259.5,12.5,320.0,,,,1430.0,Premium,32150.0,38350.0
https://www.carsized.com/en/cars/audi-a3-2020-5-door-hatchback-rs/,Audi,RS3 Sportback,5-door Hatchback,2020,2024.0,438.9,185.1,198.4,143.6,263.1,12.1,282.0,,1104.0,,1645.0,Premium,62000.0,
https://www.carsized.com/en/cars/audi-a3-2020-5-door-hatchback/,Audi,A3 Sportback,5-door Hatchback,2020,2024.0,434.3,181.6,198.4,144.9,263.6,12.5,380.0,,1200.0,,1355.0,Premium,28171.0,
https://www.carsized.com/en/cars/audi-a3-2020-sedan-rs/,Audi,RS3,Sedan,2020,2024.0,454.2,185.1,198.4,141.2,263.1,,321.0,,,,1650.0,Premium,64000.0,58900.0
https://www.carsized.com/en/cars/audi-a3-2020-sedan/,Audi,A3,Sedan,2020,2024.0,449.5,181.6,198.4,142.5,263.6,12.5,425.0,,,,1300.0,Premium,29600.0,34800.0
https://www.carsized.com/en/cars/audi-a3-2024-5-door-hatchback/,Audi,A3 Sportback,5-door Hatchback,2024,,435.2,181.6,198.4,144.1,263.5,12.5,380.0,,1200.0,,1360.0,Premium,31300.0,
https://www.carsized.com/en/cars/audi-a4-1994-sedan/,Audi,A4,Sedan,1994,2001.0,447.9,173.3,184.8,141.5,261.5,11.0,440.0,,720.0,,1200.0,Premium,20963.0,
https://www.carsized.com/en/cars/audi-a4-1999-estate/,Audi,A4 Avant,Estate,1999,2001.0,447.9,173.3,184.8,141.7,261.7,10.9,390.0,,1250.0,,1240.0,Premium,24100.0,
https://www.carsized.com/en/cars/audi-a4-2001-estate/,Audi,A4 Avant,Estate,2001,2005.0,454.4,176.4,193.7,142.8,265.0,10.9,442.0,,1184.0,,1350.0,Premium,24100.0,
https://www.carsized.com/en/cars/audi-a4-2004-estate/,Audi,A4 Avant,Estate,2004,2008.0,458.6,177.2,193.3,142.7,264.8,10.6,442.0,,1184.0,,1435.0,Premium,26150.0,
https://www.carsized.com/en/cars/audi-a4-2004-sedan/,Audi,A4,Sedan,2004,2008.0,458.6,177.2,193.3,142.7,264.2,10.6,460.0,,720.0,,1375.0,Premium,24500.0,
https://www.carsized.com/en/cars/audi-a4-2005-cabriolet/,Audi,A4,Cabriolet,2005,2009.0,457.3,177.7,193.3,139.1,265.0,10.9,315.0,,,,1615.0,Premium,35250.0,
https://www.carsized.com/en/cars/audi-a4-2007-sedan/,Audi,A4,Sedan,2007,2011.0,470.3,182.6,204.0,142.7,280.8,10.8,480.0,,962.0,,1485.0,Premium,25900.0,31000.0
https://www.carsized.com/en/cars/audi-a4-2012-estate-crossover/,Audi,A4 Allroad,Estate Crossover,2012,2016.0,472.1,184.1,200.6,149.5,280.5,15.4,490.0,,1430.0,,1705.0,Premium,38000.0,
https://www.carsized.com/en/cars/audi-a4-2012-estate/,Audi,A4 Avant,Estate,2012,2016.0,470.3,182.6,204.0,143.6,280.8,12.9,490.0,,1430.0,,1565.0,Premium,30600.0,
https://www.carsized.com/en/cars/audi-a4-2015-estate-crossover/,Audi,A4 Allroad,Estate Crossover,2015,2019.0,475.0,184.2,202.2,149.3,281.8,16.5,505.0,,1510.0,,1690.0,Premium,43050.0,44000.0
https://www.carsized.com/en/cars/audi-a4-2015-estate/,Audi,A4 Avant,Estate,2015,2018.0,472.5,184.2,202.2,143.4,282.0,13.7,505.0,,1510.0,,1445.0,Premium,34250.0,
https://www.carsized.com/en/cars/audi-a4-2015-sedan/,Audi,A4,Sedan,2015,2019.0,472.6,184.2,202.2,142.7,282.0,13.7,480.0,,965.0,,1485.0,Premium,32700.0,35900.0
https://www.carsized.com/en/cars/audi-a4-2018-estate-rs/,Audi,RS4 Avant,Estate,2018,2019.0,478.2,186.6,202.2,140.4,282.6,,505.0,,1510.0,,1830.0,Premium,81600.0,
https://www.carsized.com/en/cars/audi-a4-2019-estate-crossover/,Audi,A4 Allroad,Estate Crossover,2019,,475.0,184.2,202.2,149.3,281.8,17.5,495.0,,1495.0,,1720.0,Premium,48750.0,44600.0
https://www.carsized.com/en/cars/audi-a4-2019-estate-rs/,Audi,RS4 Avant,Estate,2019,,478.2,186.6,202.2,141.4,282.6,,495.0,,1495.0,,1820.0,Premium,79933.0,
https://www.carsized.com/en/cars/audi-a4-2019-estate/,Audi,A4 Avant,Estate,2019,2024.0,473.8,184.2,202.2,143.5,282.0,13.8,495.0,,1495.0,,1540.0,Premium,34849.0,
https://www.carsized.com/en/cars/audi-a5-2007-cabriolet/,Audi,A5,Cabriolet,2007,2011.0,462.5,185.4,202.0,138.3,275.1,10.2,320.0,,,,,Premium,,
https://www.carsized.com/en/cars/audi-a5-2007-liftback/,Audi,A5 Sportback,Liftback,2007,2011.0,471.2,185.4,202.0,139.1,281.1,11.4,480.0,,1283.0,,,Premium,,
https://www.carsized.com/en/cars/audi-a5-2011-coupe-s5/,Audi,S5 Coupé,Coupé,2011,2016.0,464.0,185.4,202.0,136.9,275.1,11.4,455.0,,829.0,,,Premium,,
https://www.carsized.com/en/cars/audi-a5-2011-liftback/,Audi,A5 Sportback,Liftback,2011,2016.0,471.2,185.4,202.0,139.1,281.1,12.0,480.0,,1283.0,,1565.0,Premium,33150.0,
https://www.carsized.com/en/cars/audi-a5-2016-coupe/,Audi,A5 Coupé,Coupé,2016,2019.0,467.3,184.6,202.9,137.1,276.4,11.4,465.0,,,,1465.0,Premium,37800.0,
https://www.carsized.com/en/cars/audi-a5-2016-liftback-s5/,Audi,S5,Liftback,2016,2019.0,475.2,184.3,202.9,138.4,282.5,11.6,480.0,,1283.0,,1735.0,Premium,63300.0,54400.0
https://www.carsized.com/en/cars/audi-a5-2016-liftback/,Audi,A5 Sportback,Liftback,2016,2019.0,473.3,184.3,202.9,138.6,282.4,12.0,480.0,,1283.0,,1505.0,Premium,37800.0,42600.0
https://www.carsized.com/en/cars/audi-a5-2020-cabriolet-s5/,Audi,S5,Cabriolet,2020,,469.2,184.6,202.9,138.2,276.5,11.8,380.0,,,,,Premium,,
https://www.carsized.com/en/cars/audi-a5-2020-liftback/,Audi,A5 Sportback,Liftback,2020,2024.0,475.7,184.3,202.9,138.6,282.4,12.0,465.0,,1283.0,,1550.0,Premium,40700.0,41800.0
https://www.carsized.com/en/cars/audi-a5-2024-estate/,Audi,A5 Avant,Estate,2024,,482.9,186.0,209.9,146.0,289.2,,476.0,,1424.0,,1785.0,Premium,46850.0,
https://www.carsized.com/en/cars/audi-a5-2024-liftback/,Audi,A5,Liftback,2024,,482.9,186.0,209.9,144.4,289.2,,445.0,,1299.0,,1770.0,Premium,45200.0,47595.0
https://www.carsized.com/en/cars/audi-a6-1994-estate/,Audi,A6 Avant,Estate,1994,1997.0,479.6,181.0,,147.9,276.0,,390.0,,1310.0,,,Premium,,
https://www.carsized.com/en/cars/audi-a6-1997-sedan/,Audi,A6,Sedan,1997,2004.0,479.6,181.0,193.2,145.3,276.0,,551.0,,,,1360.0,Premium,27400.0,
https://www.carsized.com/en/cars/audi-a6-2004-sedan/,Audi,A6,Sedan,2004,2008.0,491.6,185.5,203.0,145.9,284.3,,546.0,,,,1615.0,Premium,33200.0,
https://www.carsized.com/en/cars/audi-a6-2008-estate/,Audi,A6 Avant,Estate,2008,2011.0,492.7,185.5,203.0,146.3,284.3,,565.0,,1660.0,,1665.0,Premium,37750.0,
https://www.carsized.com/en/cars/audi-a6-2008-sedan-rs6/,Audi,RS6,Sedan,2008,2011.0,492.8,188.9,203.0,145.6,284.6,,546.0,,,,2060.0,Premium,108400.0,
https://www.carsized.com/en/cars/audi-a6-2008-sedan/,Audi,A6,Sedan,2008,2011.0,492.7,185.5,203.0,145.9,284.3,,546.0,,,,1595.0,Premium,35500.0,45100.0
https://www.carsized.com/en/cars/audi-a6-2011-estate/,Audi,A6 Avant,Estate,2011,2014.0,492.6,187.4,208.6,146.1,291.2,12.6,565.0,,1680.0,,1680.0,Premium,39550.0,
https://www.carsized.com/en/cars/audi-a6-2011-sedan/,Audi,A6,Sedan,2011,2014.0,491.5,187.4,208.6,145.5,291.2,12.6,530.0,,995.0,,1615.0,Premium,37200.0,
https://www.carsized.com/en/cars/audi-a6-2012-estate-s6/,Audi,S6 Avant,Estate,2012,2014.0,493.4,187.4,208.6,144.6,291.6,,565.0,,1680.0,,2025.0,Premium,76200.0,
https://www.carsized.com/en/cars/audi-a6-2013-estate-rs6/,Audi,RS6,Estate,2013,2018.0,499.1,198.6,208.6,146.1,291.5,11.4,565.0,,1680.0,,2025.0,Premium,112000.0,
https://www.carsized.com/en/cars/audi-a6-2014-estate/,Audi,A6 Avant,Estate,2014,2018.0,494.3,187.4,208.6,146.1,291.2,12.6,565.0,,1680.0,,1675.0,Premium,42050.0,
https://www.carsized.com/en/cars/audi-a6-2018-estate-s6/,Audi,S6 Avant,Estate,2018,2023.0,495.4,188.6,211.0,144.5,292.8,,550.0,,1660.0,,2095.0,Premium,77584.0,
https://www.carsized.com/en/cars/audi-a6-2018-estate/,Audi,A6 Avant,Estate,2018,2023.0,493.9,188.6,211.0,146.7,292.4,12.6,565.0,,1680.0,,1785.0,Premium,49315.0,
https://www.carsized.com/en/cars/audi-a6-2018-sedan/,Audi,A6,Sedan,2018,2023.0,493.3,188.6,211.0,145.7,292.4,12.6,530.0,,995.0,,1720.0,Premium,46878.0,54100.0
