url,manufacturer,car_name,body_style_general,body_style,production_start,production_end,production_end_display,car_label,half_decade,decade,length,width,width_incl_mirrors,height,wheelbase,ground_clearance,cargo_volume,cargo_volume_max,weight,segment,price_eu,price_us
https://www.carsized.com/en/cars/abarth-500-2008-3-door-hatchback/,Abarth,500,Hatchback,3-door Hatchback,2008,2016.0,2016,Abarth 500 (2008-2016),2005-2009,2000s,365.7,162.7,189.3,148.5,230.0,10.4,185.0,610.0,1110.0,Standard,17850.0,
https://www.carsized.com/en/cars/abarth-500-2016-3-door-hatchback/,Abarth,500,Hatchback,3-door Hatchback,2016,2022.0,2022,Abarth 500 (2016-2022),2015-2019,2010s,366.0,162.7,189.3,148.5,230.0,10.4,185.0,610.0,1110.0,Standard,18490.0,
https://www.carsized.com/en/cars/abarth-500-2022-semi-cabriolet/,Abarth,500e,Cabriolet,Semi-cabriolet,2022,,present,Abarth 500e (2022-present),2020-2024,2020s,367.3,168.2,190.0,151.8,232.2,,185.0,550.0,1435.0,Standard,40990.0,
https://www.carsized.com/en/cars/abarth-punto-2008-3-door-hatchback/,Abarth,Punto,Hatchback,3-door Hatchback,2008,2010.0,2010,Abarth Punto (2008-2010),2005-2009,2000s,404.1,172.6,,149.0,251.0,,275.0,1030.0,1260.0,Standard,18500.0,
https://www.carsized.com/en/cars/acura-integra-2022-liftback/,Acura,Integra,Liftback,Liftback,2022,,present,Acura Integra (2022-present),2020-2024,2020s,471.9,182.9,,141.0,273.6,13.0,,,1399.0,Premium,,31300.0
https://www.carsized.com/en/cars/acura-mdx-2013-suv/,Acura,MDX,SUV,SUV,2013,2016.0,2016,Acura MDX (2013-2016),2010-2014,2010s,491.7,196.1,,171.7,281.9,18.5,,,1826.0,Premium,,42290.0
https://www.carsized.com/en/cars/acura-mdx-2016-suv/,Acura,MDX,SUV,SUV,2016,2020.0,2020,Acura MDX (2016-2020),2015-2019,2010s,498.3,197.6,,171.2,281.9,18.5,,,1815.0,Premium,,44050.0
https://www.carsized.com/en/cars/acura-mdx-2021-suv/,Acura,MDX,SUV,SUV,2021,,present,Acura MDX (2021-present),2020-2024,2020s,503.9,199.1,,170.4,289.1,18.5,,,1937.0,Premium,,48000.0
https://www.carsized.com/en/cars/acura-rdx-2012-suv/,Acura,RDX,SUV,SUV,2012,2016.0,2016,Acura RDX (2012-2016),2010-2014,2010s,466.1,187.2,,167.9,268.5,,,,1686.0,Premium,,34320.0
https://www.carsized.com/en/cars/acura-rdx-2018-suv/,Acura,RDX,SUV,SUV,2018,2022.0,2022,Acura RDX (2018-2022),2015-2019,2010s,474.5,190.0,,166.9,275.1,,,,1716.0,Premium,,37400.0
https://www.carsized.com/en/cars/acura-rlx-2012-sedan/,Acura,RLX,Sedan,Sedan,2012,2017.0,2017,Acura RLX (2012-2017),2010-2014,2010s,498.1,189.0,,146.6,287.0,9.7,,,1784.0,Premium,,48450.0
https://www.carsized.com/en/cars/acura-tl-2012-sedan/,Acura,TL,Sedan,Sedan,2012,2014.0,2014,Acura TL (2012-2014),2010-2014,2010s,492.8,188.0,,145.3,277.6,15.0,,,1690.0,Premium,,35700.0
https://www.carsized.com/en/cars/acura-tlx-2014-sedan/,Acura,TLX,Sedan,Sedan,2014,2020.0,2020,Acura TLX (2014-2020),2010-2014,2010s,483.4,185.4,,144.8,277.6,15.0,,,1580.0,Premium,,31445.0
